,labels,window,precision,recall,fscore,support,fit_time
0,-1,2,0.25534860874283055,0.2757215848790298,0.2649411595363081,0.03239447009971976,0.5773502691896258
1,0,2,0.948658758239258,0.9119004760054495,0.9299016113283455,0.993177257411136,0.5773502691896258
2,1,2,0.4761245069229331,0.6294148508856315,0.5411407848019046,0.11202470115225599,0.5773502691896258
3,-1,5,0.4361123198545491,0.4687688380071207,0.4511975530603632,0.03239447009971976,0.5773502691896257
4,0,5,0.9684768325479379,0.9459426499588502,0.9570739687740876,0.993177257411136,0.5773502691896257
5,1,5,0.641733785265305,0.7604766003697722,0.6954424078604022,0.11202470115225599,0.5773502691896257
6,-1,8,0.5548448796614769,0.6114907991119211,0.5809828505602368,0.03239447009971976,0.5773502691896257
7,0,8,0.9767340025917646,0.9555842823687528,0.9660427800918026,0.993177257411136,0.5773502691896257
8,1,8,0.6974877344095064,0.8110347277057657,0.7495996648717286,0.11202470115225599,0.5773502691896257
9,-1,10,0.6092101512248022,0.6827578648279253,0.6430444451056877,0.03239447009971976,0.5773502691896258
10,0,10,0.9798302246745664,0.9573076929616087,0.9684379321686554,0.993177257411136,0.5773502691896258
11,1,10,0.7114914143931973,0.8318029046825908,0.7666707408163275,0.11202470115225599,0.5773502691896258
12,-1,13,0.6579127364770808,0.763737580570167,0.7061423278573703,0.03239447009971976,0.5773502691896257
13,0,13,0.9823444539139569,0.9572836185646395,0.9696519475807156,0.993177257411136,0.5773502691896257
14,1,13,0.7228794454365272,0.8527000658688539,0.782295168785609,0.11202470115225599,0.5773502691896257
