,labels,window,precision,recall,fscore,support,fit_time
0,-1,2,0.11765558565206848,0.47297736409952806,0.18838384358280424,0.03239447009971976,0.5773502691896257
1,0,2,0.9707270424223543,0.7656457728639824,0.8560734620004027,0.993177257411136,0.5773502691896257
2,1,2,0.36146872893820764,0.7216322249365096,0.4808335137965316,0.11202470115225599,0.5773502691896257
3,-1,5,0.23426004977209847,0.5434676293047437,0.32715717878514405,0.03239447009971976,0.5773502691896258
4,0,5,0.9807705321391461,0.8703383319474067,0.9222584619779082,0.993177257411136,0.5773502691896258
5,1,5,0.5102323265111849,0.8238708185013558,0.629537689111855,0.11202470115225599,0.5773502691896258
6,-1,8,0.3616872434514704,0.6423518841869027,0.4621454795311691,0.03239447009971976,0.5773502691896257
7,0,8,0.9862320561509182,0.9047807870748538,0.9437508088963188,0.993177257411136,0.5773502691896257
8,1,8,0.5745593497560227,0.8648668440186956,0.6899868376011087,0.11202470115225599,0.5773502691896257
9,-1,10,0.4322592201679129,0.7036701715139175,0.5348043662718975,0.03239447009971976,0.5773502691896257
10,0,10,0.9884951392127276,0.9143057426912886,0.949952278472585,0.993177257411136,0.5773502691896257
11,1,10,0.5960098606114241,0.8831012823637024,0.7113401492913157,0.11202470115225599,0.5773502691896257
12,-1,13,0.5166382233642235,0.7801769609851291,0.6211223407581786,0.03239447009971976,0.5773502691896257
13,0,13,0.9907777486767916,0.9200738226999591,0.9541163957526977,0.993177257411136,0.5773502691896257
14,1,13,0.6108520571944597,0.9066089734165116,0.729679472287848,0.11202470115225599,0.5773502691896257
